Program,ID,Name,Dscription,Comments,Program/Accelerator Interim Director review,Complementarity of Results SI,Efficiencies/Strategic Benefit SI,Budget allocation from Project to Program,Total Budget for this Program,Total approximate project remaining budget,Project Summary,Project results,Start Date,End Date,Center,Location,Countries,Source of funding,Funder
Food Frontiers and Security,246,"T-PJ-003812-ETH/IITA - CITY REGIONS FOOD SYSTEMS, RUNRES (TH","ETH/IITA - CITY REGIONS FOOD SYSTEMS, RUNRES (THE RURAL-URBAN NEXUS: ESTABLISHING A NUTRIENT LOOP TO IMPROVE CITY REGION FOOD SYSTEM RESILIENCE) PHASE II RWANDA - (RAFS) - PJ-3812",,Agree,High,High,1,2047796.899,2047796.899,,"RUNRES Rwanda advanced Phase II by finalizing business plans for six stakeholders, securing financing plan approval, and hosting two stakeholder workshops. Factsheets for HQCP and BSFL innovations were submitted, and AKANOZE NYAMIYAGA Ltd was chosen for the HQCP Knowledge Center, strengthening knowledge-sharing and sustainable agricultural practices. RUNRES DRC advanced stakeholder engagement by selecting Diobass and Wa-Kongo for Phase II and securing co-financing for composting innovations. Partnerships with OLAM and Mercy Corps were initiated, and policymakers committed to integrating project findings into waste management policies. Research activities, including compost analysis and monitoring surveys, progressed, alongside participation in key waste management and scientific meetings.",01-Nov-24,29-Sep-27,International Institute of Tropical Agriculture,,Rwanda,Bilateral,
Food Frontiers and Security,219,W-P-XXX1-Jahez,Jahez: Improving Anticipatory Action and Climate Change Adaptation in Refugee-Host Systems in JordanAL MURANA,,Agree,High,High,0.7,3150000,4500000,"This project has the objective of building climate resilience in refugee-hosting communities and along the humanitarian-development spectrum, through scalable interventions that integrate localized impact-based weather and climate information systems with community-based disaster risk reduction (DRR) and nature-based solutions (NbS), leveraging climate finance and other funding mechanisms. The cornerstone of Jahez will be a set of innovative, practical pilot projects in refugee-hosting communities in Jordan that prove the concept, and demonstrate the effectiveness to build resilience through holistic integration of community-based DRR and NbS.",The “Jahez (Ready)” project – has the objective of improving anticipatory action and climate change adaptation to build the resilience of refugees and their host communities in Jordan. It focuses on supporting effective localized use of impact-based weather and climate change forecasts to inform implementation of inclusive and equitable community-based Disaster Risk Reduction and Nature Based Solutions that address unique vulnerabilities of refugee–host communities.,01-Jun-24,30-Mar-29,International Water Management Institute,,"Lebanon, Jordan",Bilateral,
Food Frontiers and Security,53,N-601158-SPIR II,SPIR II,,Agree,Med,Med,0.5,2357597,4715194,"The learning agenda is designed to support IFPRI and its learning partners to collaborate with World Vision and the implementation partners to develop and deliver research and learning that will inform Strengthen PSNP 4 Institutions and Resilience (SPIR) II implementation in line with USAID’s Collaboration, Learning and Adaptation (CLA) approach and will provide lessons for a broad set of stakeholders through learning events.",,08-Oct-21,06-Jul-28,International Food Policy Research Institute,,Ethiopia,Bilateral,
Food Frontiers and Security,82,N-603217-FSP PHASE 4,FSP PHASE 4,,Agree,Med,Med,0.5,575210.5,1150421,"This Programme is a continuation of the EC-funded project on “World food crisis: Support for food security monitoring and analysis for appropriate policy responses” (Cris No: 2010 / 236-345). The first, three-year phase was initiated in 2010 in response to lessons that emerged from the 2007-08 world food crisis. Phase II of the same project ran from 2014-18 and focused upon expansion of the Global Food Security Portal (FSP) and development of an Africa South of the Sahara Food Security Portal (FSP-SSA). Several important lessons resulted from the world food price crisis, but a crucial one amongst them was that information for policymaking is not readily available at the country and regional levels. Lack of access to good information often results in inadequate and ineffective policy responses that not only exacerbate the immediate impacts of food crises but also tend to undermine long-term food security in developing countries. Such short-term policy responses may include panic purchases of food by food-deficit countries at above market prices, or food export restrictions introduced by food-surplus countries. Both responses have been shown to drive up world food prices and exacerbate price volatility. To avoid these “stop-go” policy decisions, governments require tools to rapidly assess the impact of world market and weather shocks on the food security situation and on the incomes and livelihoods of vulnerable populations. These tools inform policies and programmes that can adequately respond to the risks and opportunities presented by food crises. The 2007-08 global food price crisis also very clearly highlighted a great need for cross-country learning and dialogue. Dialogues have helped raise greater awareness about addressing food price volatility and preparedness to food price shocks. Moving forward, however, it should be recognized that, while food price volatility remains a concern today, bigger concerns are with food price volatility at the national level, more so than in global markets. Thus, greater emphasis will need to be put on monitoring country-level price changes and volatility for both staple and non-staple foods, especially in Africa.",,04-Feb-22,04-Jan-26,International Food Policy Research Institute,,,Bilateral,
Food Frontiers and Security,170,N-602250-YEMEN FOOD SECURITY-YFSRR,YEMEN FOOD SECURITY-YFSRR,,Agree,Med,Med,1,553500,553500,Assist the GOY to develop an evidence-based Food Security Preparedness Plan (FSPP) Component 5: Project Management and Knowledge Management Sub-component 5.b. Impact Assessment This subcomponent supports project evaluation of the subprojects and investments described in components 1 and 2 as part of an ongoing feedback and learning process in partnership with the Government of Yemen. This collaborative process will emphasize capacity building for government partners in understanding the role of project evaluation and interpreting and communicating the evaluation findings in support of evidence-based policy.,,04-Dec-23,03-Jun-27,International Food Policy Research Institute,,Yemen,Bilateral,
Food Frontiers and Security,264,2025P029,Google,N/A,Agree,Med,Med,0.5,1000000,2000000,"Our research plan encompasses five distinct yet interconnected areas, each contributing uniquely to the overarching goal of enhancing food security analysis and intervention strategies. 1. Predicting Global Food Insecurity Using IPC Data 2. Enhancing Food Insecurity Predictions in Kenya Through High-Frequency Data Analysis 3. Establishing Causal Relationships Through Household and Individual-Level Analysis 4. Forecasting Food Prices as Indicators of Food Crises 5. Advancing Food Security and Climate Solutions through Integrating Ecosystem and Economic Models with AI and Satellite Observations",N/A,31-Mar-25,30-Mar-27,International Food Policy Research Institute,global,,Bilateral,Google
Scaling for Impact,265,Climate-smart initiatives for climate change adaptation and sustainability in prioritized agricultural production systems in Colombia (CSICAP),"The Climate-Smart Initiatives for Climate Change Adaptation and Sustainability in Prioritized Agricultural Production Systems in Colombia (CSICAP) project aims to safeguard livelihoods, boost productivity, and enhance profitability in nine of Colombia's key agri-food value chains, while increasing resilience to climate change impacts and reducing greenhouse gas emissions in the agriculture sector. With a USD $100 million budget, funded by the Green Climate Fund (GCF), Development Bank of Latin America (CAF), the government of Colombia, and partner contributions, CSICAP aims to benefit 200,000 people directly and nearly one million indirectly. The project will help reduce over 2 million tons of CO2 equivalent emissions through digital agroclimatic services, climate-resilient crops, water-efficient climate-smart practices, inclusive capacity-building, and innovative business models. It will be implemented in 22 out of 32 departments in Colombia.","We agree, but a 20% allocaton to a bilateral on scaliong with integration of IFIs that was aligned to the Progam seems small.",Agree,High,Med,0.2,16286936.2,81434681,"The Climate-Smart Initiatives for Climate Change Adaptation and Sustainability in Prioritized Agricultural Production Systems in Colombia (CSICAP) project aims to safeguard livelihoods, boost productivity, and enhance profitability in nine of Colombia's key agri-food value chains, while increasing resilience to climate change impacts and reducing greenhouse gas emissions in the agriculture sector. With a USD $100 million budget, funded by the Green Climate Fund (GCF), Development Bank of Latin America (CAF), the government of Colombia, and partner contributions, CSICAP aims to benefit 200,000 people directly and nearly one million indirectly. The project will help reduce over 2 million tons of CO2 equivalent emissions through digital agroclimatic services, climate-resilient crops, water-efficient climate-smart practices, inclusive capacity-building, and innovative business models. It will be implemented in 22 out of 32 departments in Colombia.",,01-Apr-25,31-Dec-28,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,Colombia,BILATERAL - RESTRICTED,
Scaling for Impact,146,F-AG10607-ASIA-AFRICA BLUETECH SUPERHIGHWAY PROJECT (COAST),ASIA-AFRICA BLUETECH SUPERHIGHWAY PROJECT (COAST),,Agree,High,High,0.1,4327053,43270534,"Asia–Africa BlueTech Superhighway (AABS) harnesses South–South collaboration to assess, adapt and scale evidence-based innovations and models for delivering nature-positive impact through aquatic food systems. Implemented by WorldFish in collaboration with a host of partners, AABS aims to transform livelihoods of coastal communities across African and Asian countries, particularly for women and youth, and help restore marine and coastal ecosystems by developing sustainable and resilient aquatic food systems. Funded by the UK Government under its Blue Planet Fund, AABS is being implemented in two phases over the course of seven years (2023–2030).",,13-Jul-23,30-Mar-30,WorldFish,,"Bangladesh, Mozambique, Nigeria, Kenya",Bilateral,
Scaling for Impact,290,D-100893-Comprehensive Project on Rice Fallow Management (CRFM),Comprehensive Project on Rice Fallow Management (CRFM),,Agree,High,High,1,5000000,5000000,Not available yet,,31-Dec-23,29-Dec-25,International Center for Agricultural Research in the Dry Areas,,India,Bilateral,
Scaling for Impact,268,"D-100867-PRIMA: Lost and found: Neglected and Underutilized Species (NUS) and water harvesting for building climate change resilience, soil fertility, dietary diversity, and women’s empowerment","PRIMA: Lost and found: Neglected and Underutilized Species (NUS) and water harvesting for building climate change resilience, soil fertility, dietary diversity, and women’s empowerment",,Agree,High,High,0.5,240000,480000,"NUSTALGIC aims to empower farmers on arid land to adopt crops and related technologies, support agricultural and food product processors, and to educate consumers about the value of these products. Women and girls are disproportionately challenged in participating in these processes through restrictive social norms and access to information, resources, and agency. NUSTALGIC will develop ways for overcoming these barriers by introducing gender-transformative social enterprises.
This research line is designed to implement different water harvesting techniques to help capture and retain water in arid and semi-arid Mediterranean regions with the aim of increasing water harvesting and efficiency. The project aims to diversify agricultural systems, improve soil health, and enhance resilience to climate change. In addition, create job opportunities and develop new products and value chains using Neglected and Underutilized Species (NUS). Finally, the project will implement a robust multi-stakeholder engagement strategy across diverse sectors and levels.",,30-Jun-25,29-Jun-28,International Center for Agricultural Research in the Dry Areas,,"Lebanon, Tunisia, Morocco",Bilateral,
Scaling for Impact,236,R-A-2024-18,Accelerating Scaling of Low-Emissions Rice in Southeast Asia,,Agree,High,Med,0.25,482786,1931144,"The ScaLER-SEA project will support national governments in Southeast Asia for accelerated dissemination of low-emission rice technologies and practices. It will focus on two main aspects: (1) working closely with national partners to co-develop implementation roadmaps towards an aspirational 15% reduction of methane emissions of the target  countries’ rice sectors by 2030; and (2) developing and mainstreaming remote sensing-enabled monitoring, reporting and verification (MRV) systems that allow better targeting of
technology dissemination and tracking of progress towards the 2030 goals.",,01-Jun-24,30-May-27,International Rice Research Institute,,"Philippines, Thailand, Cambodia",bilateral,Jordan River Foundation
Scaling for Impact,127,R-A-2023-24-ASEAN-CGIAR Innovate for Food Regional Program,ASEAN-CGIAR Innovate for Food Regional Program,,Agree,High,High,0.5,473363.5,946727,"The ASEAN-CGIAR Innovate for Food regional program (IFRP) aims to scale up and out bold integrated innovations that will make ASEAN agri-food systems more resilient in the face of climate change while delivering better livelihoods for food producers and other stakeholders along the associated value chains, as well as more affordable, nutritious and healthy food for consumers and a better natural environment for all in the next ten years.",,01-Apr-23,31-Mar-26,International Rice Research Institute,,"Malaysia, Thailand, Myanmar, Singapore, Indonesia, Cambodia, Philippines",Window 3,Fundación para el Desarrollo Empresarial y Agrícola
Scaling for Impact,282,1475-GIZ0  Potato production through zero-tillage with straw mulch: an innovative technology for sustainable intensification and diversification of rice-based systems to improve livelihoods of small-scale farmers in Asia,Potato production through zero-tillage with straw mulch: an innovative technology for sustainable intensification and diversification of rice-based systems to improve livelihoods of small-scale farmers in Asia,,Agree,High,High,0.25,150000,600000,"The overall objective of the project is defined by the following benchmarks:
For 2000 smallholder farmers, which have applied PZTM, the gross margin has increased by 15%.
In 50% of 1000 soil samples 2 out of 6 selected indicators of soil quality have improved.
1000 women confirm that their position as agricultural producers in the rice-potato cultivation system has improved.",,01-Oct-21,31-Dec-24,International Potato Center / Centro Internacional de la Papa,,"Peru, Cambodia, India",Bilateral,
Scaling for Impact,284,V0145-Sustainable AgriFood Systems Approach for Sudan - SA,Sustainable AgriFood Systems Approach for Sudan - SASAS,,Agree,High,High,0.6,5605894.2,9343157,"The SASAS Program, led by CIMMYT and funded by USAID under the Feed the Future Initiatives, was initially designed in 2022. Following the outbreak of war in Sudan on April 15, 2023, SASAS pivoted to focus on enhancing food security by building resilient agrifood systems. Key interventions include promoting smallholder agricultural production with improved technologies, boosting value chains and business development, managing natural resources for social cohesion, improving horticultural practices, and establishing livestock services. These efforts are aimed at strengthening the agricultural value chain and supporting Sudanese communities in a conflict-affected environment.",,01-Aug-22,30-Sep-25,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,,"Ethiopia, Kenya",Window 3,
Scaling for Impact,43,A-AG10156 AICCRA PROJECT,A-AICCRA,,Agree,Med,Low,0.4,1608768,4021920,"The AICCRA (Accelerating Impacts of CGIAR Climate Research for Africa) project, implemented by AfricaRice, is designed to enhance climate resilience in African agriculture. This initiative focuses on integrating climate change adaptation strategies into agricultural practices to address the impacts of a changing climate on food systems. The AICCRA project employs a multi-dimensional approach to build resilience among smallholder farmers and agricultural communities. It emphasizes the development and promotion of climate-smart agricultural practices, including the adoption of drought-resistant crop varieties, improved soil management techniques, and efficient water use strategies. These measures aim to improve productivity while mitigating the negative effects of climate variability. The project also focuses on strengthening agricultural research and extension services to provide farmers with timely and relevant information about climate adaptation. By fostering partnerships with local research institutions, government agencies, and farmer organizations, AICCRA ensures that adaptation strategies are tailored to the specific needs and conditions of different regions.",A-AG10156 AICCRA PROJECT,04-Feb-21,31-Dec-25,Africa Rice Center,,Mali,Bilateral,
Scaling for Impact,74,T-PJ-003763-IITA Accelerated Innovation Delivery Initiative,IITA Accelerated Innovation Delivery Initiative – AID-I: Great Lakes Highlands,,Agree,Med,Med,0.25,857359,3429436,"The Accelerated Innovation Delivery Initiative in the Great Lakes Region (AID-I GLR) is a two-year initiative funded by USAID to enhance food and nutrition security in Burundi, the Democratic Republic of Congo and Rwanda. It aims to reach 1.2 million farmers by rapidly scaling up proven agricultural technologies and innovations developed primarily by CGIAR and partners. This initiative focuses on creating and structuring partnerships with the private sector, government agencies and NGOs to deliver these technologies, adapted to local needs, along with advisory services to a large network of farmers. AID-I GLR is part of the U.S. response to the global food security crisis, targeting both immediate and long-term impacts on food security in the region.","Two new partnerships were established in Burundi and DRC, and nine market actors enrolled. The project reached 774,965 participants (50% women, 22% youth), exceeding targets. Over 600,000 smallholder farmers received quality seeds, and 92,000 accessed fortified maize flour. Scaling events engaged 350,000 farmers, 770 demonstration plots were established, and 99,000 stakeholders trained. Additionally, 147.2 metric tons of Early Generation Seeds were produced, and market actors sold 8,200 Mt of inputs worth $3.6 million.",01-Oct-22,,International Institute of Tropical Agriculture,,Burundi,Window 3,
Scaling for Impact,7,C0042 USAID-CSISA-MEA,USAID-CSISA-MI,,Agree,High,High,0.7,4976158.6,7108798,"The Cereal Systems Initiative for South Asia – Mechanization and Irrigation (CSISA-MI) is a CIMMYT-led project in partnership with iDE under USAID’s Feed the Future (FtF) initiative, aimed at enhancing agricultural productivity in southern Bangladesh. The project focuses on promoting efficient irrigation systems, such as Axial Flow Pumps (AFPs), to enable dry-season cropping, alongside mechanization technologies like Power Tiller Operated Seeders (PTOS) and reapers to reduce labor costs and improve efficiency. CSISA-MI also fosters private sector engagement by supporting local businesses to develop a sustainable supply chain for mechanization services. By improving farm-level efficiency, expanding access to modern agricultural equipment, and encouraging climate-resilient practices, the project seeks to increase farmer incomes, enhance food security, and promote sustainable agricultural growth in Bangladesh.",,20-May-13,31-Mar-26,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,,Bangladesh,Window 3,U.S. Agency for International Development
Scaling for Impact,81,T-PJ-003702-Youth In Agribusiness: enabling scaling of innov,Youth In Agribusiness: enabling scaling of innovative technologies for sustainable food solutions,N/A,Agree,High,High,0.5,991712,1983425,,"In FCT, Kano, Ogun, and Oyo, the YAS project trained youth in aquaculture, poultry, and horticulture through strategic partnerships with organizations like NABC, GFFR, ILRI, and PANOG. Training covered technical skills, business scaling, and market linkages. High application rates showed strong youth interest, highlighting the need for increased funding and awareness to support agribusiness growth.",01-Dec-22,,International Institute of Tropical Agriculture,country,Nigeria,Bilateral,
Scaling for Impact,217,A-HP2023-003-World Bank-Food Systems Resilience,World Bank-Food Systems Resilience,"We agree, but a 20% allocaton to a bilateral on scaliong with integration of IFIs that was aligned to the Progam seems small.",Agree,Low,Low,0.2,1700000,8500000,"The World Bank-Food Systems Resilience project, implemented by AfricaRice, is a comprehensive initiative aimed at bolstering the resilience of agricultural and food systems across Africa. Recognizing the growing impact of climate change and environmental pressures on food security, the project seeks to address these challenges by promoting adaptive and sustainable practices in agriculture. Central to the project is the focus on climate-smart agriculture, which involves the adoption of innovative technologies and practices designed to mitigate the effects of climate change while enhancing productivity. This includes the development and dissemination of resilient rice varieties that can withstand extreme weather conditions, such as droughts and floods. The project also supports the implementation of efficient irrigation systems and advanced soil management techniques to optimize resource use and improve crop yields.","(1) Regional food security enhancement; (2) Climate-resilient qgricultural practices: the program has promoted the adoption of climate-smart agriculture, leading to increased crop yields and resilience against climate change; (3) Infrastructure Development.",01-Jun-24,30-Jun-26,Africa Rice Center,country,Madagascar,Bilateral,
Scaling for Impact,112,V0156-Wheat Disease Early Warning Advisory System (Wheat D,Wheat Disease Early Warning Advisory System (Wheat DEWAS),N/A,Agree,High,High,0.7,3865416.1,5522023,The purpose of this project is to deploy a scalable and sustainable system for mitigation of biotic risks to wheat with rust and blast diseases the biggest concern.,,01-Jan-23,31-Jan-26,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,"Mexico, Nepal, Zambia, Bhutan, Kenya, Ethiopia, Bangladesh, Pakistan",Window 3,
Scaling for Impact,254,W-D-0539 Water and Soil Accelerator,Water and Soil Accelerator,N/A,Agree,High,High,1,9000000,9000000,The Water and Soil Accelerator will collaborate with a network of selected technical and delivery partners (including multiple CGIAR centers) to connect small-scale farmers and value chain actors to innovative tools and information they need to manage water and soils more sustainably. The focus is on the farm-to-landscape-level approaches for sustainable agricultural water management in Zambia and Malawi.,The Water and Soil Accelerator will collaborate with a network of selected technical and delivery partners (including multiple CGIAR centers) to connect small-scale farmers and value chain actors to innovative tools and information they need to manage water and soils more sustainably. The focus is on the farm-to-landscape-level approaches for sustainable agricultural water management in Zambia and Malawi.,01-Dec-24,30-Aug-27,International Water Management Institute,country,"Malawi, Zambia",Windows 3,
Scaling for Impact,187,T-PJ-003942-IITA Accelerated Innovation Delivery Initiative (AID-I) for Mozambique,USAID/IITA - IITA ACCELERATED INNOVATION DELIVERY INITIATIVE (AID-I) FOR MOZAMBIQUE (RAFS)-PJ-3942...S.BOAHEN,N/A,Agree,Med,Med,0.25,730278.5,2921114,"This initiative seeks to boost food and nutrition security, incomes and resilience for smallholder farmers in Mozambique's Nampula, Zambézia and Niassa provinces. It aims to scale proven agricultural and nutritional innovations to tackle low productivity, extreme weather impacts and global supply chain disruptions. This program focuses on improving seed systems, enhancing village livestock productivity, integrating soil and crop management, increasing access to nutrient-dense foods and expanding market access and credit. Targeting 750,000 smallholder farmers, this initiative emphasizes gender equality, social inclusion and capacity development. By addressing these key areas, this project intends to increase productivity and profitability, ultimately improving the livelihoods of farmers and their communities.","Improved functionality of seed systems that cater to the needs of smallholder farmers, leading to increased productivity, enhanced market access, and greater availability of nutrient-dense foods.",01-Jan-24,,International Institute of Tropical Agriculture,country,,Bilateral,
Scaling for Impact,17,CANADA-MEDA-The Adaptation and Valorization of Entrepreneurship in Irrigated Agriculture _ AVENIR,"The objective of this project is to improve the socio-economic well-being and resilience of farming households by promoting climate-smart agriculture (CSA) practices and agricultural entrepreneurship in the Tambacounda and Sédhiou regions in Senegal. AVENIR is funded by GAC (Global Affairs Canada) and implemented by MEDA (Mennonite Economic Development Associates) in collaboration with The Alliance.
AVENIR aims to achieve:
- socio-economic empowerment of women and youth through enhanced leadership capacity on adaptation to climate change, increased capacity to operate agribusiness and improved access to market;
- improved local governance and territorial management of water resources through increased capacity of local/territorial actors to manage water resources and increased capacity of farmers;
- intensification of irrigated and climates change adopted crops through increased access to inputs, technologies and techniques and increased capacity of inputs providers.","""Efficiencies/Strategic Benefit SI"" were both missing so we have suggested them in green",Agree,High,Med,0.1,248318.314,2483183.14,The objective of this project is to improve the socio-economic well-being and resilience of farming households by promoting climate-smart agriculture (CSA) practices and agricultural entrepreneurship in the Tambacounda and Sédhiou regions in Senegal. AVENIR is funded by GAC (Global Affairs Canada) and implemented by MEDA (Mennonite Economic Development Associates) in collaboration with The Alliance.,,01-Apr-19,31-Mar-26,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,Senegal,BILATERAL - RESTRICTED,
Scaling for Impact,51,USA - USAID - Business Acceleration for Youth project (BAFY),,N/A,Agree,High,Med,0.75,3984811.5,5313082,"The Business Acceleration for Youth Project (formally known as the Youth Business Acceleration and
Investment Facility) is a three-year (2021-2024), innovative initiative funded by USAID Malawi and led by the
Alliance of Bioversity International and International Center for Tropical Agriculture (CIAT). Framed around
a resilience-led sustainability strategy, the project aims to strengthen the resilience of youth and women-led
business start-ups in Balaka, Chikwawa, Chiradzulu, Machinga, Mangochi, Mulanje, Thyolo, Nsanje and
Zomba, through the delivery of business incubation services creating growth-orientated, sustainable firms
able to secure and effectively utilize investment.
Nationally, the project is supporting Small and Medium Enterprises (SMEs) through the delivery of bespoke
technical support, industry specific expertise, mentorship and access to finance. The purpose of the project
is to accelerate and invest in youth-led enterprises that result in job creation, greater access to financing,
diversified incomes, a more inclusive private sector and improved household resilience in vulnerable districts.",,30-Sep-21,29-Sep-25,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,Malawi,Window 3 - Restricted,U.S. Agency for International Development
Scaling for Impact,172,A-AG10185-A-AG10185-Building resilient seed systems for rice,"A-AG10185-Building resilient seed systems for rice, cassava, cocoa, coffee, and fish value chains to strengthen food and economic diversilication in Liberia (Seeds4liberia)","We agree with the mapping, but believe that 'Efficiencies/Strategic Benefit SI' should be 'high' as this is a very complementary project",Agree,High,Low,0.8,5345600,6682000,"The Seeds4Liberia project aims to enhance food and nutrition security in Liberia by developing a demand-driven, well-structured, and regulated seed system. The focus is on four critical agricultural commodities (rice, cassava, cocoa, and coffee) collectively referred to as the ""target crops,"" as well as fish farming. The primary objectives of Seeds4Liberia include strengthening seed systems by creating reliable networks for seed production and distribution that are responsive to the specific needs of Liberian farmers, ensuring they have access to high-quality seeds that are resilient and high yielding. By providing improved seeds and promoting best agricultural practices, the project seeks to significantly boost the productivity of these target crops, leading to increased food production and better livelihoods for smallholder farmers. The project also aims to enhance food and nutrition security by increasing the availability of diverse and nutritious foods through both crop and fish farming.",A-AG10185-A-AG10185-Building resilient seed systems for rice,22-Dec-23,21-Dec-27,Africa Rice Center,country,Liberia,Bilateral,
Scaling for Impact,229,1585-IITA  Accelerated Innovation Delivery Initiative,Accelerated Innovation Delivery Initiative (AID-I) Mozambique,"""Complementarity of Results SI"" and ""Efficiencies/Strategic Benefit SI"" were both missing so we have suggested them in green",Agree,High,High,0.3,207900,693000,"the Specific Objectives of the Project are:
- To sustainably increase the availability and accessibility of proven agricultural and nutritional technologies and practices to farming households equitably.
- To enhance the use and adoption of good agricultural and nutritional technologies and practices for sustainable and equitable increase in productivity and consumption of nutritious food among farming households.",,01-Jul-24,30-Jun-25,International Potato Center / Centro Internacional de la Papa,country,Mozambique,Bilateral,
Scaling for Impact,77,L-CIM012-Accelerated Intervention Delivery Initiative (Sout,Accelerated Intervention Delivery Initiative (Southern Africa AID-I Rapid Delivery Hub),N/A,Agree,Med,Med,0.5,1994127,3988254,"Project aim is to improve food and nutrition security and rural incomes through a gender-responsive, private sector-led livestock intervention. This provides access to improved breeds of backyard village chickens, support small-scale poultry enterprises, and reduced poultry disease.",,01-Oct-22,31-Dec-25,International Livestock Research Institute,country,Zambia,Bilateral,
Scaling for Impact,194,L-CIA023-Accelerating Impacts of CGIAR Climate Research for Africa II,Accelerating Impacts of CGIAR Climate Research for Africa II,N/A,Agree,High,High,0.5,1821912,3643824,"This project aims to enhance the resilience of African agriculture to climate change by accelerating the adoption of climate-smart agricultural practices and technologies. The project focuses on scaling up research innovations that address climate risks, improve food security, and support sustainable livelihoods for smallholder farmers across Africa.",,01-Jan-24,31-Dec-25,International Livestock Research Institute,country,,Bilateral,
Scaling for Impact,121,V0165-ACIAR-ICCCAD,ACIAR-ICCCAD, ,Agree,High,High,0.4,NaN,NaN,"The aim of this project is is to develop and demonstrate locally led learning processes that (i) enable farming communities in the polders of coastal Bangladesh to adapt to climate change challenges in the management of agriculture, (ii) can be institutionalized, securing financial and human social capital to be self-sustaining in the long term, and (iii) that influence and are supported by multi-stakeholder learning and governance.", ,10-Jan-23,09-Jul-29,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,Bangladesh,Bilateral,
Scaling for Impact,121,V0165-ACIAR-ICCCAD,ACIAR-ICCCAD, ,Agree,High,High,0.4,NaN,NaN,"The aim of this project is is to develop and demonstrate locally led learning processes that (i) enable farming communities in the polders of coastal Bangladesh to adapt to climate change challenges in the management of agriculture, (ii) can be institutionalized, securing financial and human social capital to be self-sustaining in the long term, and (iii) that influence and are supported by multi-stakeholder learning and governance.", ,10-Jan-23,09-Jul-29,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,Zimbabwe,Bilateral,
Scaling for Impact,95,V0146-AID-I : Southern Africa,AID-I : Southern Africa,N/A,Agree,High,High,0.65,14552469.1,22388414,"The Southern Africa Accelerated Innovation Delivery Initiative (AID-I) Rapid Delivery Hub, led by USAID under Feed the Future, is a two-year rapid response effort to mitigate the impact of high fuel and fertilizer prices on farmers. Targeting up to three million smallholder farmers in Malawi, Tanzania, and Zambia, AID-I improves soil health, fertilizer management, seed systems, financial access, and extension services. It establishes agile rural innovation hubs to enhance technology adaptation, sustainable input and output development, and value chain diversification. The project focuses on scaling resilient agronomic practices and strengthening rural-urban linkages for better national cross-network management.",,01-Aug-22,30-Sep-25,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,"Eswatini, Namibia, Zambia, Mozambique, Botswana, South Africa, Lesotho, Malawi",Window 3,
Scaling for Impact,1,T-PJ-003262-An innovative approach to agribusiness training and start-up for Nigerias young people within the Young Africa Works Program,An innovative approach to agribusiness training and start-up for Nigerias young people within the Young Africa Works Program,N/A,Agree,Med,Med,0.25,769850.25,3079401,"This IITA-led project, in partnership with the MasterCard Foundation's Young Africa Works (YAW) Program, aims to enhance self-employment and employment opportunities for Nigerian youth aged 15-35 in agrifood systems across Kaduna, Kano and Lagos. This project focuses on improving education and training systems, connecting youth with agribusinesses and providing access to specialized credit. Key outputs include strengthened training curricula, establishment of Youth Agribusiness Parks and development of youth-sensitive financial support programs. This project targets over 128,000 youth, creating approximately 9,180 new jobs and delivering services through a network of diverse partners. It is set to improve youth engagement and support in agriculture, especially for young women, over five years with a budget of $12.4 million.","In Q2YR5, I-Youth trained 4,286 youths (39% of the 10,940 target) for employment and entrepreneurship, with 81% and 49% female participation, respectively. 7,293 jobs were created, mainly in Kaduna and Adamawa. Business registration support was provided to 3,141 businesses, and ₦10.3M in loans was accessed. Agribusiness parks expanded in Kano, Lagos, and Kaduna, enhancing digital and e-commerce training.",,,International Institute of Tropical Agriculture,country,Nigeria,Bilateral,
